OBJECTID;CODIGO;TIPO_CONST;TIPO_DOMIN;NUMERO_PIS;IDENTIFICA;GRIDCODE;Area_ha;Amenaza;Grado;Escenario;Escala
1;544980101000001720008000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00480564000;Alta;3;Avenida Torrencial;1:2.000
2;544980101000001720009000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00244729000;Alta;3;Avenida Torrencial;1:2.000
3;544980101000001720002000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00086614800;Alta;3;Avenida Torrencial;1:2.000
4;544980103000002210007000000000;CONVENCIONAL;PRIVADO;1;B;3;0,00256920000;Alta;3;Avenida Torrencial;1:2.000
5;544980103000002210008000000000;CONVENCIONAL;PRIVADO;2;A;3;0,00443309000;Alta;3;Avenida Torrencial;1:2.000
6;544980103000002210009000000000;CONVENCIONAL;PRIVADO;2;A;3;0,00499603000;Alta;3;Avenida Torrencial;1:2.000
7;544980103000002210010000000000;CONVENCIONAL;PRIVADO;2;A;3;0,00415354000;Alta;3;Avenida Torrencial;1:2.000
8;544980103000002210011000000000;CONVENCIONAL;PRIVADO;2;A;3;0,00495228000;Alta;3;Avenida Torrencial;1:2.000
9;544980103000002210012000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00399862000;Alta;3;Avenida Torrencial;1:2.000
10;544980103000002210019000000000;CONVENCIONAL;PRIVADO;2;A;3;0,00757626000;Alta;3;Avenida Torrencial;1:2.000
11;544980103000002210020000000000;CONVENCIONAL;PRIVADO;2;A;3;0,00716823000;Alta;3;Avenida Torrencial;1:2.000
12;544980103000002210023000000000;CONVENCIONAL;PRIVADO;3;A;3;0,00407002000;Alta;3;Avenida Torrencial;1:2.000
13;544980103000002210008000000000;CONVENCIONAL;PRIVADO;2;A;3;0,00065616200;Alta;3;Avenida Torrencial;1:2.000
14;544980103000002210008000000000;CONVENCIONAL;PRIVADO;3;A;3;0,00069765200;Alta;3;Avenida Torrencial;1:2.000
